Name,Simbolo,Precio,Fecha,Link
Wrapped Bitcoin,WBTC,"41,547.70",21-03-2022,https://www.coindesk.com/price/wrapped-bitcoin/
Chainlink,LINK,15.08,21-03-2022,https://www.coindesk.com/price/chainlink/
Shiba Inu,SHIB,0.000023,21-03-2022,https://www.coindesk.com/price/shiba-inu/
Dogecoin,DOGE,0.119644,21-03-2022,https://www.coindesk.com/price/dogecoin/
Stellar,XLM,0.202824,21-03-2022,https://www.coindesk.com/price/stellar/
Avalanche,AVAX,85.55,21-03-2022,https://www.coindesk.com/price/avax/
TerraUSD,UST,1.00,21-03-2022,https://www.coindesk.com/price/terrausd/
Internet Computer,ICP,16.98,21-03-2022,https://www.coindesk.com/price/internet-computer/
Solana,SOL,89.54,21-03-2022,https://www.coindesk.com/price/solana/
XRP,XRP,0.846252,21-03-2022,https://www.coindesk.com/price/xrp/
Ethereum,ETH,"2,925.84",21-03-2022,https://www.coindesk.com/price/ethereum/
Cardano,ADA,0.913539,21-03-2022,https://www.coindesk.com/price/cardano/
The Sandbox,SAND,3.11,21-03-2022,https://www.coindesk.com/price/the-sandbox/
Terra,LUNA,94.59,21-03-2022,https://www.coindesk.com/price/terra/
Polkadot,DOT,18.90,21-03-2022,https://www.coindesk.com/price/polkadot/
